"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030595","GO:0030595","leukocyte chemotaxis","28/1023","237/18860",0.118143459915612,2.17808959336113,4.37082996701717,9.12555699001166e-05,0.00184492910998451,0.00150993619156348,"ADAM17/ANXA1/C3/CCL8/CH25H/CMKLR1/CORO1C/CSF1/CXCL12/CXCL3/CXCL5/CXCL6/CXCL8/CYP7B1/DPP4/DUSP1/EDNRB/HMGB1/IL16/IL17RC/IL6/LYST/MMP2/NEDD9/PDE4B/SCG2/TNFAIP6/TNFSF14",28
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","16/1023","100/18860",0.16,2.94975562072336,4.68166145033235,9.13365890944533e-05,0.00184492910998451,0.00150993619156348,"CACNB4/CCT2/CCT4/CCT5/CCT6A/CCT8/CDK1/ECT2/GLI3/GLIS2/HSP90AA1/PLK1/SESN2/TCP1/TRIM8/ZC3H12A",16
"GO:0051307","GO:0051307","meiotic chromosome separation","5/1023","10/18860",0.5,9.21798631476051,6.22509491233174,9.31862357347427e-05,0.00186298700102245,0.00152471522186547,"ESPL1/KNL1/NCAPH/TTK/ZWINT",5
"GO:1902423","GO:1902423","regulation of attachment of mitotic spindle microtubules to kinetochore","5/1023","10/18860",0.5,9.21798631476051,6.22509491233174,9.31862357347427e-05,0.00186298700102245,0.00152471522186547,"AURKB/BIRC5/CDCA8/CDK1/INCENP",5
"GO:0007492","GO:0007492","endoderm development","15/1023","90/18860",0.166666666666667,3.07266210492017,4.72012898420787,9.32906995959649e-05,0.00186298700102245,0.00152471522186547,"COL11A1/COL5A2/COL6A1/COL7A1/DKK1/DUSP1/DUSP5/FN1/ITGAV/LAMB1/LAMC1/MMP14/MMP2/NOG/ZFP36L1",15
"GO:0070301","GO:0070301","cellular response to hydrogen peroxide","13/1023","71/18860",0.183098591549296,3.37560062230667,4.8027171755614,0.000100682062250222,0.00200300314031385,0.00163930793709498,"ABL1/CDK1/CYP1B1/ECT2/EZH2/HDAC2/IL6/KLF4/MYB/PCNA/SPHK1/TNFAIP3/TRPA1",13
"GO:0007369","GO:0007369","gastrulation","25/1023","203/18860",0.123152709359606,2.27043997900505,4.35830386212271,0.000109916300609987,0.00217849149178892,0.00178293199920988,"ACVR2B/AMOT/ATOH8/COL11A1/COL5A2/COL6A1/COL7A1/DKK1/DUSP1/DUSP5/EYA1/FGFR2/FN1/ITGA3/ITGA8/ITGAV/ITGB3/ITGB4/KLF4/LAMB1/MEGF8/MMP14/MMP2/NOG/TP53",25
"GO:0001649","GO:0001649","osteoblast differentiation","30/1023","265/18860",0.113207547169811,2.08709124107785,4.26802626269549,0.000113788711307476,0.00224679432963675,0.00183883275241216,"ACVR2B/ALYREF/BAMBI/CBFB/COL1A1/COL6A1/CREB3L1/CRIM1/DDR2/DDX21/DHX9/FASN/FGFR2/GLI3/GTPBP4/ID1/ID3/ID4/IGFBP3/IL6/ITGA11/MRC2/NOG/PSMC2/PTCH1/RORB/TMEM119/TNC/TNFAIP6/TP53INP2",30
"GO:0031589","GO:0031589","cell-substrate adhesion","38/1023","369/18860",0.102981029810298,1.89855544694254,4.17459266708059,0.000116332007846496,0.00228844158718928,0.00187291791108715,"ABI3BP/ABL1/BCL2L11/COL16A1/COL1A1/COL3A1/COL5A3/CORO1C/CORO2B/CSF1/ECM2/FBLN1/FN1/FZD4/HPSE/ITGA10/ITGA11/ITGA3/ITGA8/ITGAV/ITGB3/ITGB4/ITGB8/KDR/KIF14/LAMB1/LAMC1/LIMCH1/MMP14/NDNF/NEDD9/NID1/NID2/PDPN/PLAU/PTPRK/SPOCK1/TNFRSF12A",38
"GO:0000132","GO:0000132","establishment of mitotic spindle orientation","9/1023","37/18860",0.243243243243243,4.48442577474836,5.08070406638634,0.000123060233018557,0.00238968137568376,0.00195577508963496,"CENPA/GPSM2/MAD2L1/MAPRE1/NDC80/NUMA1/PLK1/SAPCD2/SPDL1",9
"GO:0006301","GO:0006301","postreplication repair","9/1023","37/18860",0.243243243243243,4.48442577474836,5.08070406638634,0.000123060233018557,0.00238968137568376,0.00195577508963496,"BRCA1/DTL/MSH2/PCLAF/PCNA/POLE2/POLQ/UBE2N/UBE2V2",9
"GO:2000352","GO:2000352","negative regulation of endothelial cell apoptotic process","9/1023","37/18860",0.243243243243243,4.48442577474836,5.08070406638634,0.000123060233018557,0.00238968137568376,0.00195577508963496,"ABL1/GATA2/ICAM1/ID1/ITGB3/KDR/NDNF/SCG2/TNFAIP3",9
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","22/1023","169/18860",0.130177514792899,2.39994909970096,4.37799811367095,0.00012393643234743,0.00238968137568376,0.00195577508963496,"ADD3/ARHGAP28/ARHGEF2/CGNL1/CKAP2/CLIP3/CLU/CORO2B/DIAPH3/HSPA8/LDLR/LIMA1/MAPRE1/MET/PFDN2/RDX/SPTA1/SSH2/STMN1/SVIL/TPX2/VBP1",22
"GO:0009263","GO:0009263","deoxyribonucleotide biosynthetic process","6/1023","16/18860",0.375,6.91348973607038,5.66700416527596,0.000125557993373369,0.00238968137568376,0.00195577508963496,"AK5/DCK/DUT/RRM1/RRM2/TYMS",6
"GO:0009265","GO:0009265","2'-deoxyribonucleotide biosynthetic process","6/1023","16/18860",0.375,6.91348973607038,5.66700416527596,0.000125557993373369,0.00238968137568376,0.00195577508963496,"AK5/DCK/DUT/RRM1/RRM2/TYMS",6
"GO:0030397","GO:0030397","membrane disassembly","6/1023","16/18860",0.375,6.91348973607038,5.66700416527596,0.000125557993373369,0.00238968137568376,0.00195577508963496,"CDC25A/CDK1/CHEK1/LPIN1/PLK1/VRK1",6
"GO:0046385","GO:0046385","deoxyribose phosphate biosynthetic process","6/1023","16/18860",0.375,6.91348973607038,5.66700416527596,0.000125557993373369,0.00238968137568376,0.00195577508963496,"AK5/DCK/DUT/RRM1/RRM2/TYMS",6
"GO:1902412","GO:1902412","regulation of mitotic cytokinesis","6/1023","16/18860",0.375,6.91348973607038,5.66700416527596,0.000125557993373369,0.00238968137568376,0.00195577508963496,"AURKB/BIRC5/CDCA8/ECT2/INCENP/KIF20B",6
"GO:0043085","GO:0043085","positive regulation of catalytic activity","34/1023","318/18860",0.106918238993711,1.97114172768464,4.18267506880519,0.000127658712844045,0.00241224635883085,0.00197424283700336,"ABR/AGRN/ARHGAP11A/BCAR3/CDC20/CEMIP/CENPE/CHI3L1/CLSPN/CORO1C/DDR2/ECT2/EZH2/FBN1/FGFR2/GCH1/GPRC5B/KIF14/NEDD9/NEK10/PCNA/PDGFRB/PIM1/PLK1/RFC2/RFC3/RFC4/TGM2/TLR3/TPX2/UBE2C/UBE2S/XRCC5/ZC3H15",34
"GO:0071559","GO:0071559","response to transforming growth factor beta","34/1023","318/18860",0.106918238993711,1.97114172768464,4.18267506880519,0.000127658712844045,0.00241224635883085,0.00197424283700336,"ABL1/ADAM17/ASPN/BAMBI/BCL9L/CD109/CDKN2B/CFLAR/CLDN1/COL1A1/COL1A2/COL3A1/DDR2/FBN1/FGFR2/GDF15/GDF5/HDAC2/HSPA5/ID1/ITGA3/ITGA8/ITGB8/LTBP2/NFKBIZ/PEG10/PMEPA1/PML/PTPRK/TGFBR3/TP53/VASN/ZFP36L1/ZMIZ1",34
"GO:1904888","GO:1904888","cranial skeletal system development","13/1023","73/18860",0.178082191780822,3.28311841347635,4.68055539991873,0.000135208146584938,0.00254577624569927,0.00208352704079572,"CEP55/COLEC10/FGFR2/FOXN3/GLI3/IFT140/INSIG1/MEGF8/MMP14/MTHFD1/NOG/PDGFRA/TMEM107",13
"GO:0045446","GO:0045446","endothelial cell differentiation","18/1023","126/18860",0.142857142857143,2.63371037564586,4.40637366316915,0.000154203233263928,0.00289309411305134,0.00236778068233317,"ACVR2B/ATOH8/BTG1/CLDN1/EDNRB/EZR/FASN/FZD4/HEG1/HPSE/ICAM1/ID1/KDR/MET/PDE4D/PDPN/RDX/TJP2",18
"GO:0051987","GO:0051987","positive regulation of attachment of spindle microtubules to kinetochore","5/1023","11/18860",0.454545454545455,8.37998755887319,5.863326195061,0.000163205848100738,0.00305113911768471,0.00249712867250811,"AURKB/BIRC5/CCNB1/CDCA8/INCENP",5
"GO:0032963","GO:0032963","collagen metabolic process","17/1023","116/18860",0.146551724137931,2.70182357501601,4.40299947148403,0.000169937918868927,0.00316576928719783,0.00259094487425603,"COL1A1/COL1A2/COL6A1/CREB3L1/CTSK/DDR2/FAP/ID1/IL6/MFAP4/MMP14/MMP2/MRC2/MYB/P2RX7/P3H2/PCOLCE",17
"GO:0051028","GO:0051028","mRNA transport","19/1023","139/18860",0.136690647482014,2.52002503568992,4.30754537098691,0.000185035254952229,0.00342282759336193,0.00280132783028323,"ALYREF/DDX39A/DHX9/HNRNPA2B1/MAGOH/NDC1/NUP107/NUP205/NUP37/NUP50/NUP58/NUP88/NUP93/PEG10/SMG6/SRSF1/SRSF3/SRSF7/ZFP36L1",19
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","19/1023","139/18860",0.136690647482014,2.52002503568992,4.30754537098691,0.000185035254952229,0.00342282759336193,0.00280132783028323,"ABL1/AUNIP/BLM/CDC6/CDT1/DUSP1/FANCB/GMNN/GTPBP4/MSH2/PARPBP/PLK1/PML/POLQ/SMG6/TIMELESS/TIPIN/TP53/XRCC5",19
"GO:0033688","GO:0033688","regulation of osteoblast proliferation","8/1023","31/18860",0.258064516129032,4.75767035600542,5.01443653243316,0.000187914550542355,0.00346393535125627,0.0028349714489257,"ABL1/FGFR2/HPSE/ITGAV/ITGB3/MN1/NPR3/TMEM119",8
"GO:0070192","GO:0070192","chromosome organization involved in meiotic cell cycle","12/1023","66/18860",0.181818181818182,3.35199502354928,4.58389853555896,0.000197892258671265,0.00363514978297878,0.00297509762807084,"BRIP1/CCNE2/DMC1/FANCD2/NCAPD2/NCAPD3/NCAPH/NDC1/PSMC3IP/RAD51/SMC4/TRIP13",12
"GO:0006282","GO:0006282","regulation of DNA repair","27/1023","236/18860",0.114406779661017,2.10920025846215,4.10644228263705,0.000206305540568966,0.00377653753430413,0.00309081290494222,"ABL1/ACTL6A/ACTR2/AUNIP/BRCA1/CHEK1/DEK/DHX9/EYA1/FANCB/FOXM1/FUS/HMGB1/NPAS2/NSD2/PARPBP/PCNA/PLK1/PML/POLQ/RAD51/RAD51AP1/SUV39H1/TIMELESS/UBE2N/UBE2V2/UCHL5",27
"GO:0090224","GO:0090224","regulation of spindle organization","10/1023","48/18860",0.208333333333333,3.84082763115021,4.71937250551167,0.000209319819029499,0.00381457795530842,0.00312194613824958,"BORA/CHMP1B/GPSM2/NUMA1/PLK1/PSRC1/SPAG5/STIL/TACC3/TPX2",10
"GO:0001776","GO:0001776","leukocyte homeostasis","17/1023","118/18860",0.144067796610169,2.65602995510049,4.32152934205393,0.000209830729711578,0.00381457795530842,0.00312194613824958,"ABL1/ADAM17/ANXA1/BCL2L11/CCNB2/CSF1/CXCL6/HMGB1/IL6/IL7R/MTHFD1/P2RX7/PDE4B/SPTA1/TNFAIP3/TNFSF14/TSC22D3",17
"GO:0007623","GO:0007623","circadian rhythm","25/1023","212/18860",0.117924528301887,2.17405337612276,4.11695275233129,0.000218728653726766,0.00396267169225949,0.00324314976171465,"ASS1/CDK1/COL6A1/CRTC1/EGR1/EZH2/GPR176/HDAC2/ID1/ID3/ID4/NAMPT/NFIL3/NPAS2/PML/PPARGC1A/PTGDS/RELB/RORB/SFPQ/SUV39H1/TIMELESS/TOP1/TOP2A/TP53",25
"GO:0044409","GO:0044409","symbiont entry into host","19/1023","141/18860",0.134751773049645,2.48427999972269,4.23662778997985,0.000223399185268671,0.00403342638608368,0.00330105717525697,"ANPEP/CDK1/CH25H/CLDN1/CXCL8/DPP4/EFNB2/EFNB3/GBP2/HMGB1/HTR2A/ICAM1/ITGAV/ITGB3/LDLR/NCAM1/NECTIN3/PVR/TPCN1",19
"GO:0016032","GO:0016032","viral process","39/1023","396/18860",0.0984848484848485,1.81566397108919,3.92854939069178,0.000241264393031472,0.00434111221864136,0.0035528749668978,"ANPEP/APOBEC3B/CCL8/CDK1/CH25H/CHMP1B/CLDN1/CNOT7/CXCL8/DEK/DHX9/DPP4/EFNB2/EFNB3/GALNT1/GBP2/HMGB1/HTR2A/ICAM1/ITGAV/ITGB3/KPNA2/LDLR/LRRC15/MGAT4B/NCAM1/NECTIN3/PCBP3/PCSK5/PEG10/PVR/SPCS3/SSB/TNIP1/TOP2A/TP53/TPCN1/TRIM8/ZC3H12A",39
"GO:0048872","GO:0048872","homeostasis of number of cells","37/1023","369/18860",0.100271002710027,1.84859346149669,3.94247461717644,0.000242496420863675,0.00434843922038536,0.00355887156863661,"ABL1/ADAM17/ANXA1/BCL2L11/CCNB2/COL14A1/COL6A1/CSF1/CXCL6/CYLD/DIAPH3/EZH2/FOXO3/GATA2/GLIS2/HMGB1/HMGB2/IL6/IL7R/KLF13/LYAR/MAFB/MTHFD1/MYB/NCAPG2/NFKBIZ/P2RX7/PDE4B/RACGAP1/RB1/SLC11A2/SPTA1/TGFBR3/TNFAIP3/TNFSF14/TSC22D3/ZFP36L1",37
"GO:0051960","GO:0051960","regulation of nervous system development","44/1023","466/18860",0.0944206008583691,1.74073561308782,3.8775225609506,0.000254461170525432,0.00454752302037314,0.0037218067367841,"AGRN/ASPM/BDNF/CLSTN3/CXCL12/DKK1/DLG5/DNAJB11/E2F1/EFNB3/EPHA4/EZH2/FN1/FZD4/GATA2/GLI3/HDAC2/HMGB2/ID4/IGDCC4/IL6/IQSEC2/KIF14/LDLR/LPIN1/LRRC15/MEGF8/MYB/NFATC4/NOG/NUMBL/RB1/RGMA/TG/TGM2/TNFRSF12A/TNFRSF21/TP53/ULK1/WASF3/WDR62/XRCC2/XRCC5/YWHAH",44
"GO:0141091","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","40/1023","411/18860",0.097323600973236,1.794255243749,3.89879883143619,0.000258225340497312,0.00459920268615483,0.00376410266962476,"ABL1/ACVR2B/ADAM17/ASPN/BAMBI/BCL9L/CD109/CDKN2B/COL1A2/COL3A1/CRIM1/DKK1/EGR1/FBN1/GDF15/GDF5/GREM2/HDAC2/HSPA5/ID1/ITGA3/ITGA8/ITGB8/KDR/LTBP2/MEGF8/NOG/NUMA1/PEG10/PMEPA1/PML/PTPRK/RGMA/TGFBR3/TMEM119/TNFAIP6/TP53/VASN/ZMIZ1/ZNF423",40
"GO:0033002","GO:0033002","muscle cell proliferation","28/1023","252/18860",0.111111111111111,2.04844140328011,4.01264579857761,0.000259292230218923,0.00460265534583892,0.00376692841278527,"ABL1/ADAMTS1/CCNB1/CDK1/CFLAR/DDR2/DNMT1/DSN1/ELN/FGFR2/FOXP1/IGFBP3/IL6/ITGB3/KLF4/MEGF10/MMP2/MYB/NDC80/NOG/OGN/PDGFRB/PIM1/PPARGC1A/SOD2/TGFBR3/TNFAIP3/XRCC5",28
"GO:0001885","GO:0001885","endothelial cell development","12/1023","68/18860",0.176470588235294,3.25340693462136,4.45803857325563,0.00026494358768644,0.00465773434164362,0.00381200644245612,"CLDN1/EDNRB/EZR/FASN/HEG1/HPSE/ICAM1/ID1/MET/PDE4D/RDX/TJP2",12
"GO:0045143","GO:0045143","homologous chromosome segregation","12/1023","68/18860",0.176470588235294,3.25340693462136,4.45803857325563,0.00026494358768644,0.00465773434164362,0.00381200644245612,"BRIP1/CCNE2/DMC1/ESPL1/FANCD2/KNL1/NDC1/PLK1/PSMC3IP/PTTG1/TRIP13/ZWINT",12
"GO:0097094","GO:0097094","craniofacial suture morphogenesis","6/1023","18/18860",0.333333333333333,6.14532420984034,5.23024145828646,0.000265045580897778,0.00465773434164362,0.00381200644245612,"FOXN3/GLI3/INSIG1/MEGF8/MMP14/TMEM107",6
"GO:0072697","GO:0072697","protein localization to cell cortex","5/1023","12/18860",0.416666666666667,7.68165526230042,5.54470304785632,0.000267294104310454,0.0046816429166934,0.00383157381908918,"EZR/GPSM2/NUMA1/PLK1/SAPCD2",5
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","34/1023","331/18860",0.102719033232628,1.8937252852076,3.92851388371903,0.000273135612680499,0.00476811572864765,0.00390234533418391,"ABL1/ACKR3/ARRB1/CDK1/CFLAR/CHI3L1/DDR2/DUSP1/DUSP5/EPHA4/EZR/FAM83D/FBLN1/FGFR2/FN1/GPNMB/HMGB1/HMGCR/HTR2A/ICAM1/IQGAP3/ITGAV/ITGB3/KDR/KLF4/NAMPT/NEK10/PDGFRA/PDGFRB/RPS6KA6/TNIP1/WNK4/YWHAZ/ZFP36L1",34
"GO:0008156","GO:0008156","negative regulation of DNA replication","7/1023","25/18860",0.28,5.16207233626588,4.98692752819534,0.000274612080995823,0.00477806894722765,0.00391049129755733,"CDC6/CDT1/GMNN/GTPBP4/TIMELESS/TIPIN/TP53",7
"GO:0048608","GO:0048608","reproductive structure development","33/1023","318/18860",0.10377358490566,1.91316697098803,3.93297972306705,0.000277204544797875,0.00480731039531052,0.0039344232310474,"ADAMTS1/ASPM/BCL2L11/BRIP1/C3/CCND1/COL6A1/CYP7B1/DMC1/FANCA/FANCG/FGFR2/FOXO3/FZD4/GFRA1/GMNC/HMGB2/ID4/KDR/KIF18A/MMP14/MMP2/MSH2/NASP/NOG/NUP107/PDGFRA/PTCH1/RRM1/SLIT3/TLR3/TNC/TNFAIP6",33
"GO:0051781","GO:0051781","positive regulation of cell division","15/1023","99/18860",0.151515151515152,2.79332918629106,4.28435908467152,0.000278309297968062,0.00481064465209056,0.00393715207030573,"AURKB/BIRC5/CDC25B/CDC6/CDCA8/CIT/ECT2/FGFR2/INCENP/KIF14/KIF20B/KIF23/LBH/RACGAP1/SVIL",15
"GO:0050657","GO:0050657","nucleic acid transport","21/1023","167/18860",0.125748502994012,2.31829595940085,4.09796169415729,0.000283976648871209,0.00487662831546911,0.00399115475303647,"ALYREF/DDX39A/DHX9/HNRNPA2B1/MAGOH/NDC1/NUP107/NUP205/NUP37/NUP50/NUP58/NUP88/NUP93/PEG10/PNPT1/SMG6/SRSF1/SRSF3/SRSF7/SSB/ZFP36L1",21
"GO:0050658","GO:0050658","RNA transport","21/1023","167/18860",0.125748502994012,2.31829595940085,4.09796169415729,0.000283976648871209,0.00487662831546911,0.00399115475303647,"ALYREF/DDX39A/DHX9/HNRNPA2B1/MAGOH/NDC1/NUP107/NUP205/NUP37/NUP50/NUP58/NUP88/NUP93/PEG10/PNPT1/SMG6/SRSF1/SRSF3/SRSF7/SSB/ZFP36L1",21
"GO:0071711","GO:0071711","basement membrane organization","9/1023","41/18860",0.219512195121951,4.04692082111437,4.67725520276481,0.000285069737780391,0.00487950538174747,0.00399350941613746,"COL3A1/COL6A1/HMCN1/LAMA2/LAMB1/LAMC1/NID1/NID2/PXDN",9
"GO:0072698","GO:0072698","protein localization to microtubule cytoskeleton","11/1023","59/18860",0.186440677966102,3.43721523601239,4.49019969952101,0.000288020929793494,0.00491406583129871,0.00402179455364855,"ABL1/AURKA/CEP78/FAM83D/KIF20B/MAPRE1/NUMA1/PLK1/SPAG5/STIL/TTK",11
"GO:0042692","GO:0042692","muscle cell differentiation","42/1023","441/18860",0.0952380952380952,1.75580691709724,3.84621337685367,0.000290675513886623,0.00493984809983676,0.00404289540796081,"ACTC1/ANK2/BDNF/CACNB4/CACYBP/CCL8/CCNB1/CDK1/CFLAR/CNTNAP1/COL14A1/COL6A1/CSRP1/DKK1/DNMT1/EDNRB/EFNB2/EZH2/FGFR2/FOXP1/GDF15/ITGA8/LAMA2/LAMB1/LAMC1/MEGF10/MMP14/MYPN/NFATC4/NID1/PDGFRA/PDGFRB/PDLIM5/PTGFRN/RB1/RCAN1/RGS2/RGS4/SGCD/SOD2/TMEM119/TNFSF14",42
"GO:0051216","GO:0051216","cartilage development","25/1023","216/18860",0.115740740740741,2.13379312841678,4.01353809906294,0.000292142226551287,0.00493984809983676,0.00404289540796081,"ADGRG6/BGN/CHI3L1/CHSY1/COL11A1/COL1A1/COL3A1/COL6A1/CSGALNACT1/CTSK/EFEMP1/EVC/GDF5/GLI3/ITGB8/LUM/MGP/NOG/OGN/POC1A/RB1/SLC39A14/SULF2/ZBTB16/ZNF219",25
"GO:0022411","GO:0022411","cellular component disassembly","45/1023","483/18860",0.093167701863354,1.71763720150817,3.82628612241634,0.000292343059019171,0.00493984809983676,0.00404289540796081,"ABCE1/ADD3/ARHGEF2/ATAD2/AURKA/AURKB/C3/CDC25A/CDK1/CHEK1/CHMP1B/CKAP2/COL6A1/CTSK/DDR2/DIAPH3/DKK1/DPP4/EPHA4/ETF1/FAP/HSPA8/IL6/IQSEC1/KIF18A/KIF18B/KIF2C/LAMC1/LIMA1/LPIN1/LRP1/MMP14/MMP2/NEDD9/PDPN/PLK1/RDX/RHOU/SH3PXD2B/SPTA1/STMN1/SVIL/TOP2A/TPX2/VRK1",45
"GO:0010562","GO:0010562","positive regulation of phosphorus metabolic process","33/1023","320/18860",0.103125,1.90120967741935,3.89387684729902,0.000310724333542211,0.00521700218609725,0.00426972525373625,"ACSL3/ARHGEF2/ARRB1/C3/CEMIP/CENPE/CHI3L1/CLIP3/CLSPN/DDR2/ECT2/EZH2/FAM20A/FAXDC2/FBN1/GPRC5B/HTR2A/IL11/IL6/KCTD20/KDR/KIF14/LIMCH1/NEDD9/NEK10/P2RX7/PDGFRB/PIM1/RSPO1/SPHK1/TLR3/TPX2/XRCC5",33
"GO:0045937","GO:0045937","positive regulation of phosphate metabolic process","33/1023","320/18860",0.103125,1.90120967741935,3.89387684729902,0.000310724333542211,0.00521700218609725,0.00426972525373625,"ACSL3/ARHGEF2/ARRB1/C3/CEMIP/CENPE/CHI3L1/CLIP3/CLSPN/DDR2/ECT2/EZH2/FAM20A/FAXDC2/FBN1/GPRC5B/HTR2A/IL11/IL6/KCTD20/KDR/KIF14/LIMCH1/NEDD9/NEK10/P2RX7/PDGFRB/PIM1/RSPO1/SPHK1/TLR3/TPX2/XRCC5",33
"GO:0035107","GO:0035107","appendage morphogenesis","20/1023","157/18860",0.127388535031847,2.34853154516191,4.06341837577961,0.000330564683007149,0.00549962188162726,0.0045010282910291,"AFF3/BCL2L11/COL3A1/COL6A1/DKK1/FGFR2/GDF5/GLI3/HDAC2/IFT140/MAP3K20/MEGF8/NOG/PCSK5/PTCH1/SEMA3C/TMEM107/ZBTB16/ZNF219/ZNF358",20
"GO:0035108","GO:0035108","limb morphogenesis","20/1023","157/18860",0.127388535031847,2.34853154516191,4.06341837577961,0.000330564683007149,0.00549962188162726,0.0045010282910291,"AFF3/BCL2L11/COL3A1/COL6A1/DKK1/FGFR2/GDF5/GLI3/HDAC2/IFT140/MAP3K20/MEGF8/NOG/PCSK5/PTCH1/SEMA3C/TMEM107/ZBTB16/ZNF219/ZNF358",20
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","40/1023","416/18860",0.0961538461538462,1.77268967591548,3.81645775150405,0.000330686672320911,0.00549962188162726,0.0045010282910291,"ADAM17/ATOH8/CCND1/CD109/CDKN2B/CFLAR/CLDN1/CXCL12/CYP7B1/EDNRB/EFNB2/EPGN/EYA1/FGFR2/GATA2/GDF5/HLX/HMGB1/HMGB2/IQGAP3/ITGB3/KDR/LAMB1/LAMC1/MCC/NOG/NRAS/NRP2/NUS1/PTCH1/PTPRK/RB1/SCG2/ST8SIA1/SULF2/TGFBR3/TNFAIP3/UHRF1/VDR/ZFP36L1",40
"GO:0016125","GO:0016125","sterol metabolic process","21/1023","169/18860",0.124260355029586,2.29086050426001,4.03685023539058,0.000334495795835136,0.00552964520136679,0.00452560012786568,"CH25H/CLN8/CYP1B1/CYP51A1/CYP7B1/DHCR7/FAXDC2/GPR146/HMGCR/HMGCS1/INSIG1/LDLR/LIMA1/LSS/MSMO1/MVD/PCSK9/SC5D/SQLE/SREBF2/STARD4",21
"GO:0007131","GO:0007131","reciprocal meiotic recombination","11/1023","60/18860",0.183333333333333,3.37992831541219,4.4217768090506,0.000335638555469911,0.00552964520136679,0.00452560012786568,"BRIP1/DMC1/EME1/FANCD2/PSMC3IP/RAD21/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13",11
"GO:0140527","GO:0140527","reciprocal homologous recombination","11/1023","60/18860",0.183333333333333,3.37992831541219,4.4217768090506,0.000335638555469911,0.00552964520136679,0.00452560012786568,"BRIP1/DMC1/EME1/FANCD2/PSMC3IP/RAD21/RAD51/RAD51AP1/RAD54L/TOP2A/TRIP13",11
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","26/1023","231/18860",0.112554112554113,2.07504453838765,3.93707707298981,0.000346618560851952,0.00569275094333798,0.00465908995222873,"ANPEP/CDK1/CH25H/CHMP1B/CLDN1/CXCL6/CXCL8/DPP4/EFNB2/EFNB3/FBLN1/FN1/GBP2/HMGB1/HSPD1/HTR2A/ICAM1/ITGAV/ITGB3/KPNA2/LDLR/LRRC15/NCAM1/NECTIN3/PVR/TPCN1",26
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","20/1023","158/18860",0.126582278481013,2.33366742145836,4.03151519065934,0.000359606839846427,0.00588772440891417,0.00481866111974667,"CACNB4/CCT2/CCT4/CCT5/CCT6A/CCT8/CDK1/ECT2/GLI3/GLIS2/HSP90AA1/NFKBIA/NUP58/PLK1/SESN2/SUMO1/TCP1/TRIM8/YWHAZ/ZC3H12A",20
"GO:0051236","GO:0051236","establishment of RNA localization","21/1023","170/18860",0.123529411764706,2.27738485423495,4.00661685279638,0.000362581048147796,0.00591804113261666,0.0048434730857351,"ALYREF/DDX39A/DHX9/HNRNPA2B1/MAGOH/NDC1/NUP107/NUP205/NUP37/NUP50/NUP58/NUP88/NUP93/PEG10/PNPT1/SMG6/SRSF1/SRSF3/SRSF7/SSB/ZFP36L1",21
"GO:0061458","GO:0061458","reproductive system development","33/1023","323/18860",0.102167182662539,1.88355138320184,3.83574376933563,0.000367780185318735,0.00598437387963077,0.00489776146725632,"ADAMTS1/ASPM/BCL2L11/BRIP1/C3/CCND1/COL6A1/CYP7B1/DMC1/FANCA/FANCG/FGFR2/FOXO3/FZD4/GFRA1/GMNC/HMGB2/ID4/KDR/KIF18A/MMP14/MMP2/MSH2/NASP/NOG/NUP107/PDGFRA/PTCH1/RRM1/SLIT3/TLR3/TNC/TNFAIP6",33
"GO:0006695","GO:0006695","cholesterol biosynthetic process","12/1023","71/18860",0.169014084507042,3.11593903597538,4.27776312865772,0.000401152773864534,0.00647153041860704,0.00529646258003959,"CYP51A1/DHCR7/GPR146/HMGCR/HMGCS1/INSIG1/LSS/MSMO1/MVD/SC5D/SQLE/SREBF2",12
"GO:1902653","GO:1902653","secondary alcohol biosynthetic process","12/1023","71/18860",0.169014084507042,3.11593903597538,4.27776312865772,0.000401152773864534,0.00647153041860704,0.00529646258003959,"CYP51A1/DHCR7/GPR146/HMGCR/HMGCS1/INSIG1/LSS/MSMO1/MVD/SC5D/SQLE/SREBF2",12
"GO:0019058","GO:0019058","viral life cycle","31/1023","298/18860",0.104026845637584,1.9178360789099,3.82469769452083,0.000401401829833935,0.00647153041860704,0.00529646258003959,"ANPEP/APOBEC3B/CCL8/CDK1/CH25H/CHMP1B/CLDN1/CNOT7/CXCL8/DEK/DPP4/EFNB2/EFNB3/GBP2/HMGB1/HTR2A/ICAM1/ITGAV/ITGB3/KPNA2/LDLR/LRRC15/NCAM1/NECTIN3/PCBP3/PCSK5/PVR/TNIP1/TOP2A/TPCN1/ZC3H12A",31
